"name","handedness","height","weight","avg","HR","BMI","rand","adj_BMI","power","log10HR","lm","range"
"Dick Davis","R",75,190,0.265,27,23.74577778,0.24,23.99,101.8867925,1.431363764,1.372983369,"healthy"
"Richie Scheinblum","B",73,180,0.263,13,23.74554325,-0.27,23.47,49.42965779,1.113943352,1.372965226,"healthy"
"Mike Hegan","L",73,188,0.242,53,24.80090073,0.46,25.26,219.0082645,1.72427587,1.45460768,"healthy"
"Tim Foli","R",72,179,0.251,25,24.27411265,0.22,24.5,99.60159363,1.397940009,1.413855355,"healthy"
"Stan Papi","R",72,170,0.218,7,23.05362654,0.24,23.29,32.11009174,0.84509804,1.319438549,"healthy"
"Rob Wilfong","L",73,180,0.248,39,23.74554325,-0.1,23.64,157.2580645,1.591064607,1.372965226,"healthy"
"Steve Henderson","R",74,190,0.28,68,24.39189189,0,24.4,242.8571429,1.832508913,1.422966757,"healthy"
"Rob Picciolo","R",74,185,0.234,17,23.75,-0.09,23.66,72.64957265,1.230448921,1.37331,"healthy"
"Bob Dernier","R",72,160,0.255,23,21.69753086,0.27,21.97,90.19607843,1.361727836,1.214530987,"healthy"
"Albert Hall","B",71,155,0.251,5,21.61575084,0.19,21.81,19.92031873,0.698970004,1.208204485,"healthy"
"Barbaro Garbey","R",70,170,0.267,11,24.38979592,0.39,24.78,41.19850187,1.041392685,1.422804612,"healthy"
"Rich Reese","L",75,185,0.253,52,23.12088889,-0.48,22.64,205.5335968,1.716003344,1.324641965,"healthy"
"Jack Hiatt","R",74,190,0.251,22,24.39189189,0.43,24.82,87.64940239,1.342422681,1.422966757,"healthy"
"Nelson Mathews","R",76,195,0.223,22,23.73355263,-0.1,23.63,98.65470852,1.342422681,1.372037631,"healthy"
"Rafael Santana","R",73,165,0.246,13,21.76674798,-0.16,21.61,52.84552846,1.113943352,1.219885624,"healthy"
"Jerry Hairston","B",70,170,0.258,30,24.38979592,0.18,24.57,116.2790698,1.477121255,1.422804612,"healthy"
"Tommie Aaron","R",75,190,0.229,13,23.74577778,0.17,23.92,56.76855895,1.113943352,1.372983369,"healthy"
"Steve Dillard","R",73,180,0.243,13,23.74554325,-0.22,23.52,53.49794239,1.113943352,1.372965226,"healthy"
"Ken Walters","R",73,180,0.231,11,23.74554325,-0.11,23.64,47.61904762,1.041392685,1.372965226,"healthy"
"Paul Dade","R",73,185,0.27,10,24.40514168,-0.2,24.2,37.03703704,1,1.42399176,"healthy"
"Fred Stanley","R",70,165,0.216,10,23.67244898,-0.36,23.31,46.2962963,1,1.367310653,"healthy"
"Larry Bowa","B",70,155,0.26,15,22.2377551,-0.48,21.76,57.69230769,1.176091259,1.256322735,"healthy"
"Tim Corcoran","L",71,175,0.27,12,24.40487998,0.22,24.63,44.44444444,1.079181246,1.423971515,"healthy"
"Matty Alou","L",69,160,0.307,31,23.6252888,0.24,23.86,100.9771987,1.491361694,1.363662342,"healthy"
"Jim Dwyer","L",70,165,0.26,77,23.67244898,-0.45,23.23,296.1538462,1.886490725,1.367310653,"healthy"
"Dalton Jones","L",73,180,0.235,41,23.74554325,0.01,23.75,174.4680851,1.612783857,1.372965226,"healthy"
"Rennie Stennett","R",71,160,0.274,41,22.31303313,-0.15,22.16,149.6350365,1.612783857,1.262146243,"healthy"
"Jerry May","R",74,190,0.234,15,24.39189189,0.21,24.6,64.1025641,1.176091259,1.422966757,"healthy"
"Clint Hurdle","L",75,195,0.259,32,24.37066667,0.09,24.46,123.5521236,1.505149978,1.421324774,"healthy"
"Mike Andrews","R",75,195,0.258,66,24.37066667,0.18,24.55,255.8139535,1.819543936,1.421324774,"healthy"
"Tom Veryzer","R",73,175,0.241,14,23.08594483,0.28,23.37,58.09128631,1.146128036,1.321938692,"healthy"
"George Smith","R",70,170,0.205,9,24.38979592,0.47,24.86,43.90243902,0.954242509,1.422804612,"healthy"
"Boots Day","L",69,160,0.256,8,23.6252888,-0.2,23.42,31.25,0.903089987,1.363662342,"healthy"
"Brian Giles","R",73,165,0.228,10,21.76674798,0.36,22.13,43.85964912,1,1.219885624,"healthy"
"Garry Maddox","R",75,175,0.285,117,21.87111111,0.31,22.18,410.5263158,2.068185862,1.227959155,"healthy"
"Alex Trevino","R",70,165,0.249,23,23.67244898,0.36,24.03,92.36947791,1.361727836,1.367310653,"healthy"
"Felix Millan","R",71,172,0.279,22,23.98651061,-0.03,23.96,78.85304659,1.342422681,1.391606461,"healthy"
"Marvell Wynne","L",71,175,0.247,40,24.40487998,-0.14,24.26,161.9433198,1.602059991,1.423971515,"healthy"
"Dusty Baker","R",74,183,0.278,242,23.49324324,-0.27,23.22,870.5035971,2.383815366,1.353447297,"healthy"
"Gaylord Perry","R",76,205,0.131,6,24.95065789,-0.01,24.94,45.80152672,0.77815125,1.466192894,"healthy"
"Dave Marshall","L",73,182,0.246,16,24.00938262,0.27,24.28,65.04065041,1.204119983,1.393375839,"healthy"
"Roger Repoz","L",75,190,0.224,82,23.74577778,0.27,24.02,366.0714286,1.913813852,1.372983369,"healthy"
"Keith Hernandez","L",72,180,0.296,162,24.40972222,0.16,24.57,547.2972973,2.209515015,1.424346111,"healthy"
"Dane Iorg","L",72,180,0.276,14,24.40972222,0.29,24.7,50.72463768,1.146128036,1.424346111,"healthy"
"Sandy Alomar","B",69,140,0.245,13,20.6721277,0.32,20.99,53.06122449,1.113943352,1.135205799,"healthy"
"Joe Strain","R",70,169,0.25,1,24.24632653,-0.36,23.89,4,0,1.41170582,"healthy"
"Gene Richards","L",72,175,0.29,26,23.73167438,0.18,23.91,89.65517241,1.414973348,1.37189233,"healthy"
"Buddy Bell","R",73,180,0.279,201,23.74554325,-0.39,23.36,720.4301075,2.303196057,1.372965226,"healthy"
"Al Woods","L",75,190,0.271,35,23.74577778,-0.29,23.46,129.1512915,1.544068044,1.372983369,"healthy"
"Rudy Law","L",73,165,0.271,18,21.76674798,-0.11,21.66,66.42066421,1.255272505,1.219885624,"healthy"
"Jody Davis","R",76,192,0.245,127,23.36842105,0.1,23.46,518.3673469,2.103803721,1.343791052,"healthy"
"Mike Edwards","R",70,154,0.25,2,22.09428571,-0.11,21.98,8,0.301029996,1.245223943,"healthy"
"Don Wert","R",70,162,0.242,77,23.24204082,0.5,23.74,318.1818182,1.886490725,1.334014278,"healthy"
"Mike Fiore","L",72,175,0.227,13,23.73167438,0.24,23.97,57.26872247,1.113943352,1.37189233,"healthy"
"Miguel Dilone","B",72,160,0.265,6,21.69753086,-0.35,21.35,22.64150943,0.77815125,1.214530987,"healthy"
"Bobby Tolan","L",71,170,0.265,86,23.7075977,0.13,23.84,324.5283019,1.934498451,1.370029758,"healthy"
"Ron Woods","R",70,168,0.233,26,24.10285714,0.47,24.57,111.5879828,1.414973348,1.400607028,"healthy"
"Randy Hundley","R",71,170,0.236,82,23.7075977,-0.39,23.32,347.4576271,1.913813852,1.370029758,"healthy"
"Jose Tartabull","L",71,165,0.261,2,23.01031541,-0.28,22.73,7.662835249,0.301029996,1.316088,"healthy"
"Ben Oglivie","L",74,160,0.273,235,20.54054054,-0.2,20.35,860.8058608,2.371067862,1.125026216,"healthy"
"Duane Kuiper","L",72,175,0.271,1,23.73167438,0.09,23.82,3.6900369,0,1.37189233,"healthy"
"Lou Johnson","R",71,170,0.258,48,23.7075977,-0.06,23.65,186.0465116,1.681241237,1.370029758,"healthy"
"Terry Harper","R",76,195,0.253,36,23.73355263,-0.1,23.64,142.2924901,1.556302501,1.372037631,"healthy"
"Jerry Royster","R",72,165,0.249,40,22.3755787,0.21,22.59,160.6425703,1.602059991,1.266984768,"healthy"
"Barry Bonnell","R",75,190,0.272,56,23.74577778,0.04,23.78,205.8823529,1.748188027,1.372983369,"healthy"
"Bill Stein","R",70,170,0.267,44,24.38979592,0.08,24.47,164.7940075,1.643452676,1.422804612,"healthy"
"Joel Youngblood","R",72,180,0.265,80,24.40972222,0.24,24.65,301.8867925,1.903089987,1.424346111,"healthy"
"Sonny Jackson","L",69,150,0.251,7,22.14870825,0.38,22.53,27.88844622,0.84509804,1.24943407,"healthy"
"Rodney Scott","B",72,160,0.236,3,21.69753086,0.15,21.85,12.71186441,0.477121255,1.214530987,"healthy"
"Phil Gagliano","R",73,180,0.238,14,23.74554325,0.48,24.23,58.82352941,1.146128036,1.372965226,"healthy"
"Jerry McNertney","R",72,180,0.237,27,24.40972222,-0.41,24,113.9240506,1.431363764,1.424346111,"healthy"
"Larry Milbourne","B",72,161,0.254,11,21.83314043,0.07,21.9,43.30708661,1.041392685,1.225021744,"healthy"
"Domingo Ramos","R",70,154,0.24,8,22.09428571,-0.47,21.63,33.33333333,0.903089987,1.245223943,"healthy"
"Ron Oester","B",74,185,0.265,42,23.75,0.2,23.95,158.490566,1.62324929,1.37331,"healthy"
"Glenn Adams","L",73,180,0.28,34,23.74554325,0.31,24.06,121.4285714,1.531478917,1.372965226,"healthy"
"Paul Popovich","B",72,175,0.233,14,23.73167438,0.17,23.9,60.08583691,1.146128036,1.37189233,"healthy"
"Doug Clemens","L",72,180,0.229,12,24.40972222,-0.33,24.08,52.40174672,1.079181246,1.424346111,"healthy"
"Orlando Mercado","R",72,180,0.199,7,24.40972222,-0.24,24.17,35.1758794,0.84509804,1.424346111,"healthy"
"Charley Smith","R",73,170,0.239,69,22.42634641,0.28,22.71,288.7029289,1.838849091,1.270912158,"healthy"
"Buddy Biancalana","B",71,160,0.205,6,22.31303313,-0.1,22.21,29.26829268,0.77815125,1.262146243,"healthy"
"Felix Torres","R",71,165,0.254,27,23.01031541,-0.16,22.85,106.2992126,1.431363764,1.316088,"healthy"
"Ray Knight","R",73,185,0.271,84,24.40514168,0.18,24.58,309.9630996,1.924279286,1.42399176,"healthy"
"Ty Cline","L",72,170,0.238,6,23.05362654,-0.24,22.82,25.21008403,0.77815125,1.319438549,"healthy"
"Thad Bosley","L",75,175,0.272,20,21.87111111,-0.41,21.47,73.52941176,1.301029996,1.227959155,"healthy"
"Bobby Grich","R",74,180,0.266,224,23.10810811,0.24,23.35,842.1052632,2.350248018,1.323653243,"healthy"
"Jimmie Hall","L",72,175,0.254,121,23.73167438,0.26,23.99,476.3779528,2.08278537,1.37189233,"healthy"
"Brock Davis","L",70,160,0.26,1,22.95510204,0.18,23.13,3.846153846,0,1.311816694,"healthy"
"Mack Jones","L",73,180,0.252,133,23.74554325,0.08,23.83,527.7777778,2.123851641,1.372965226,"healthy"
"Buddy Bradford","R",71,170,0.226,52,23.7075977,-0.16,23.55,230.0884956,1.716003344,1.370029758,"healthy"
"Hosken Powell","L",73,175,0.259,17,23.08594483,-0.06,23.02,65.63706564,1.230448921,1.321938692,"healthy"
"Dave Stapleton","R",73,178,0.271,41,23.48170388,0.16,23.64,151.2915129,1.612783857,1.352554612,"healthy"
"Jim Lonborg","R",77,200,0.136,3,23.71394839,0.16,23.88,22.05882353,0.477121255,1.370521047,"healthy"
"Joe Lis","R",72,175,0.233,32,23.73167438,0.14,23.87,137.3390558,1.505149978,1.37189233,"healthy"
"Jim Holt","L",72,180,0.265,19,24.40972222,0.46,24.87,71.69811321,1.278753601,1.424346111,"healthy"
"Larry Herndon","R",75,190,0.274,107,23.74577778,0.22,23.97,390.5109489,2.029383778,1.372983369,"healthy"
"Wallace Johnson","B",72,173,0.255,5,23.46045525,0.29,23.75,19.60784314,0.698970004,1.350910818,"healthy"
"Eddie Leon","R",72,170,0.236,24,23.05362654,-0.35,22.71,101.6949153,1.380211242,1.319438549,"healthy"
"Jim Wohlford","R",71,175,0.26,21,24.40487998,0.14,24.55,80.76923077,1.322219295,1.423971515,"healthy"
"J.R. Richard","R",80,222,0.168,10,24.3853125,0.12,24.51,59.52380952,1,1.422457775,"healthy"
"Bill Voss","L",74,160,0.227,19,20.54054054,0.49,21.03,83.70044053,1.278753601,1.125026216,"healthy"
"Wayne Krenchicki","L",73,180,0.266,15,23.74554325,0,23.75,56.39097744,1.176091259,1.372965226,"healthy"
"Dave Rosello","R",71,160,0.236,10,22.31303313,-0.22,22.09,42.37288136,1,1.262146243,"healthy"
"Paul Schaal","R",71,165,0.244,57,23.01031541,0.04,23.05,233.6065574,1.755874856,1.316088,"healthy"
"Tito Landrum","R",71,175,0.249,13,24.40487998,0,24.4,52.20883534,1.113943352,1.423971515,"healthy"
"Dave Edwards","R",72,170,0.237,14,23.05362654,-0.24,22.82,59.07172996,1.146128036,1.319438549,"healthy"
"Mario Guerrero","R",70,155,0.257,7,22.2377551,-0.49,21.75,27.23735409,0.84509804,1.256322735,"healthy"
"Tom Tresh","B",73,180,0.245,153,23.74554325,-0.44,23.31,624.4897959,2.184691431,1.372965226,"healthy"
"Ron Roenicke","B",72,180,0.238,17,24.40972222,0.23,24.64,71.42857143,1.230448921,1.424346111,"healthy"
"Doug Griffin","R",72,160,0.245,7,21.69753086,-0.12,21.58,28.57142857,0.84509804,1.214530987,"healthy"
"Steve Blass","R",72,165,0.172,1,22.3755787,-0.41,21.96,5.813953488,0,1.266984768,"healthy"
"Johnnie LeMaster","R",74,165,0.222,22,21.18243243,-0.42,20.76,99.0990991,1.342422681,1.174682973,"healthy"
"Nate Oliver","R",70,160,0.226,2,22.95510204,0.45,23.41,8.849557522,0.301029996,1.311816694,"healthy"
"Ken Rudolph","R",73,180,0.213,6,23.74554325,0.33,24.07,28.16901408,0.77815125,1.372965226,"healthy"
"Len Matuszek","L",74,190,0.234,30,24.39189189,0.19,24.58,128.2051282,1.477121255,1.422966757,"healthy"
"Joe Lefebvre","L",70,170,0.258,31,24.38979592,-0.4,23.99,120.1550388,1.491361694,1.422804612,"healthy"
"Jim Maloney","L",74,190,0.201,7,24.39189189,-0.1,24.29,34.82587065,0.84509804,1.422966757,"healthy"
"Andre Robertson","R",70,155,0.251,5,22.2377551,-0.42,21.82,19.92031873,0.698970004,1.256322735,"healthy"
"Jerry Zimmerman","R",74,185,0.204,3,23.75,-0.3,23.45,14.70588235,0.477121255,1.37331,"healthy"
"Phil Mankowski","L",72,180,0.264,8,24.40972222,-0.25,24.16,30.3030303,0.903089987,1.424346111,"healthy"
"Joaquin Andujar","B",72,170,0.127,5,23.05362654,-0.08,22.97,39.37007874,0.698970004,1.319438549,"healthy"
"Mike Lum","L",72,180,0.247,90,24.40972222,-0.33,24.08,364.3724696,1.954242509,1.424346111,"healthy"
"Johnny Grubb","L",75,175,0.278,99,21.87111111,-0.45,21.42,356.1151079,1.995635195,1.227959155,"healthy"
"Curt Motton","R",68,164,0.213,25,24.933391,0.2,25.13,117.370892,1.397940009,1.464857128,"healthy"
"Dale Berra","R",72,180,0.236,49,24.40972222,0.19,24.6,207.6271186,1.69019608,1.424346111,"healthy"
"Bob Meacham","B",73,175,0.236,8,23.08594483,0.31,23.39,33.89830508,0.903089987,1.321938692,"healthy"
"Carl Warwick","R",70,170,0.248,31,24.38979592,-0.05,24.34,125,1.491361694,1.422804612,"healthy"
"Sam Bowens","R",73,188,0.223,45,24.80090073,-0.41,24.39,201.793722,1.653212514,1.45460768,"healthy"
"Hal Lanier","R",74,180,0.228,8,23.10810811,-0.35,22.76,35.0877193,0.903089987,1.323653243,"healthy"
"Len Randle","B",70,169,0.257,27,24.24632653,-0.27,23.98,105.0583658,1.431363764,1.41170582,"healthy"
"Greg Pryor","R",72,180,0.25,14,24.40972222,0.36,24.77,56,1.146128036,1.424346111,"healthy"
"Dave Nelson","R",70,160,0.244,20,22.95510204,0.06,23.01,81.96721311,1.301029996,1.311816694,"healthy"
"Bryan Little","B",70,160,0.245,3,22.95510204,0.46,23.42,12.24489796,0.477121255,1.311816694,"healthy"
"Ron Stone","L",74,185,0.241,6,23.75,0.19,23.94,24.89626556,0.77815125,1.37331,"healthy"
"Bob Bailey","R",73,180,0.257,189,23.74554325,-0.03,23.71,735.4085603,2.276461804,1.372965226,"healthy"
"Ted Uhlaender","L",74,190,0.263,36,24.39189189,-0.14,24.25,136.8821293,1.556302501,1.422966757,"healthy"
"Bobby Murcer","L",71,160,0.277,252,22.31303313,-0.26,22.05,909.7472924,2.401400541,1.262146243,"healthy"
"Dick Tracewski","R",71,160,0.213,8,22.31303313,-0.17,22.14,37.55868545,0.903089987,1.262146243,"healthy"
"Rick Burleson","R",70,165,0.273,50,23.67244898,0.16,23.84,183.1501832,1.698970004,1.367310653,"healthy"
"Terry Harmon","R",74,180,0.233,4,23.10810811,0.34,23.45,17.16738197,0.602059991,1.323653243,"healthy"
"Lee May","R",75,195,0.267,354,24.37066667,-0.14,24.23,1325.842697,2.549003262,1.421324774,"healthy"
"Sam McDowell","L",77,190,0.154,2,22.52825097,-0.49,22.03,12.98701299,0.301029996,1.278795495,"healthy"
"Dave Campbell","R",73,180,0.213,20,23.74554325,-0.45,23.3,93.89671362,1.301029996,1.372965226,"healthy"
"Pat Kelly","L",73,185,0.264,76,24.40514168,-0.29,24.11,287.8787879,1.880813592,1.42399176,"healthy"
"Al Weis","B",72,160,0.219,7,21.69753086,-0.26,21.44,31.96347032,0.84509804,1.214530987,"healthy"
"Rick Auerbach","R",72,165,0.22,9,22.3755787,0.06,22.44,40.90909091,0.954242509,1.266984768,"healthy"
"Cesar Cedeno","R",74,175,0.285,199,22.46621622,-0.28,22.18,698.245614,2.298853076,1.273996487,"healthy"
"Phil Linz","R",73,180,0.235,11,23.74554325,-0.02,23.73,46.80851064,1.041392685,1.372965226,"healthy"
"Manny Mota","R",70,160,0.304,31,22.95510204,0.03,22.98,101.9736842,1.491361694,1.311816694,"healthy"
"Doug DeCinces","R",74,190,0.259,237,24.39189189,0.33,24.72,915.0579151,2.374748346,1.422966757,"healthy"
"John Castino","R",71,175,0.278,41,24.40487998,-0.36,24.05,147.4820144,1.612783857,1.423971515,"healthy"
"Ron Washington","R",71,155,0.261,20,21.61575084,0.15,21.76,76.62835249,1.301029996,1.208204485,"healthy"
"Billy Grabarkewitz","R",70,165,0.236,28,23.67244898,0.22,23.89,118.6440678,1.447158031,1.367310653,"healthy"
"Don Hahn","R",73,180,0.236,7,23.74554325,-0.28,23.46,29.66101695,0.84509804,1.372965226,"healthy"
"Todd Cruz","R",72,175,0.22,34,23.73167438,0.11,23.85,154.5454545,1.531478917,1.37189233,"healthy"
"Bob Heise","R",72,175,0.247,1,23.73167438,0.46,24.19,4.048582996,0,1.37189233,"healthy"
"Tommy Harper","R",69,165,0.257,146,24.36357908,0.42,24.78,568.0933852,2.164352856,1.420776478,"healthy"
"Rico Carty","R",75,200,0.299,204,24.99555556,0.08,25.07,682.2742475,2.309630167,1.469666178,"healthy"
"Mike Cubbage","L",72,180,0.258,34,24.40972222,-0.37,24.04,131.7829457,1.531478917,1.424346111,"healthy"
"Merritt Ranew","L",71,170,0.247,8,23.7075977,0.44,24.14,32.38866397,0.903089987,1.370029758,"healthy"
"Lyman Bostock","L",73,180,0.311,23,23.74554325,0.49,24.23,73.95498392,1.361727836,1.372965226,"healthy"
"Damaso Garcia","R",73,165,0.283,36,21.76674798,0.45,22.22,127.2084806,1.556302501,1.219885624,"healthy"
"Sonny Siebert","R",75,190,0.173,12,23.74577778,0.36,24.11,69.36416185,1.079181246,1.372983369,"healthy"
"Bobby Darwin","R",74,190,0.251,83,24.39189189,-0.12,24.27,330.6772908,1.919078092,1.422966757,"healthy"
"Bruce Miller","R",73,185,0.246,1,24.40514168,0.42,24.83,4.06504065,0,1.42399176,"healthy"
"Bob Bailor","R",71,170,0.264,9,23.7075977,0.16,23.87,34.09090909,0.954242509,1.370029758,"healthy"
"Tommy Helms","R",70,165,0.269,34,23.67244898,0.43,24.1,126.394052,1.531478917,1.367310653,"healthy"
"Lou Piniella","R",72,182,0.291,102,24.68094136,0.24,24.93,350.5154639,2.008600172,1.445327624,"healthy"
"Mike Krukow","R",77,205,0.193,5,24.3067971,0.12,24.43,25.90673575,0.698970004,1.416383824,"healthy"
"Andres Mora","R",72,180,0.223,27,24.40972222,0.13,24.54,121.0762332,1.431363764,1.424346111,"healthy"
"Alan Wiggins","B",74,160,0.259,5,20.54054054,0.47,21.01,19.30501931,0.698970004,1.125026216,"healthy"
"Julio Gotay","R",72,180,0.26,6,24.40972222,-0.38,24.03,23.07692308,0.77815125,1.424346111,"healthy"
"Andre Thornton","R",75,200,0.254,253,24.99555556,0.38,25.37,996.0629921,2.403120521,1.469666178,"healthy"
"Ollie Brown","R",74,178,0.265,102,22.85135135,-0.43,22.43,384.9056604,2.008600172,1.30379054,"healthy"
"Frank Quilici","R",73,170,0.214,5,22.42634641,0.26,22.69,23.36448598,0.698970004,1.270912158,"healthy"
"Joe Pepitone","L",74,185,0.258,219,23.75,-0.14,23.61,848.8372093,2.340444115,1.37331,"healthy"
"Julio Cruz","B",69,165,0.237,23,24.36357908,-0.16,24.2,97.0464135,1.361727836,1.420776478,"healthy"
"Rudy Meoli","L",69,165,0.212,2,24.36357908,0.3,24.67,9.433962264,0.301029996,1.420776478,"healthy"
"Ruppert Jones","L",70,170,0.25,147,24.38979592,0.4,24.79,588,2.167317335,1.422804612,"healthy"
"Glenn Hoffman","R",73,175,0.242,23,23.08594483,-0.12,22.97,95.04132231,1.361727836,1.321938692,"healthy"
"Luis Pujols","R",74,175,0.193,6,22.46621622,-0.3,22.17,31.0880829,0.77815125,1.273996487,"healthy"
"Mickey Stanley","R",73,185,0.248,117,24.40514168,-0.36,24.05,471.7741935,2.068185862,1.42399176,"healthy"
"Winston Llenas","R",70,165,0.23,3,23.67244898,0.24,23.92,13.04347826,0.477121255,1.367310653,"healthy"
"Tommy John","R",75,180,0.157,5,22.496,0.48,22.98,31.84713376,0.698970004,1.27630056,"healthy"
"Bruce Benedict","R",73,175,0.242,18,23.08594483,0.4,23.49,74.38016529,1.255272505,1.321938692,"healthy"
"Wes Parker","B",73,180,0.267,64,23.74554325,0.23,23.98,239.7003745,1.806179974,1.372965226,"healthy"
"David Green","R",75,170,0.268,31,21.24622222,0.2,21.45,115.6716418,1.491361694,1.179617751,"healthy"
"Reid Nichols","R",71,165,0.266,22,23.01031541,0.11,23.12,82.70676692,1.342422681,1.316088,"healthy"
"Luis Tiant","R",72,180,0.164,5,24.40972222,-0.09,24.32,30.48780488,0.698970004,1.424346111,"healthy"
"Leon Roberts","R",75,200,0.267,78,24.99555556,0.27,25.27,292.1348315,1.892094603,1.469666178,"healthy"
"Ray Burris","R",77,200,0.151,1,23.71394839,0.29,24,6.622516556,0,1.370521047,"healthy"
"Tom Grieve","R",74,190,0.249,65,24.39189189,0.31,24.7,261.0441767,1.812913357,1.422966757,"healthy"
"Bob Forsch","R",76,200,0.213,12,24.34210526,0.06,24.4,56.33802817,1.079181246,1.419115263,"healthy"
"Danny Cater","R",72,170,0.276,66,23.05362654,0.25,23.31,239.1304348,1.819543936,1.319438549,"healthy"
"Reggie Smith","B",72,180,0.287,314,24.40972222,-0.39,24.02,1094.076655,2.496929648,1.424346111,"healthy"
"Davey Johnson","R",73,170,0.261,136,22.42634641,0.43,22.86,521.0727969,2.133538908,1.270912158,"healthy"
"Ellis Valentine","R",76,205,0.278,123,24.95065789,0,24.95,442.4460432,2.089905111,1.466192894,"healthy"
"Roy White","B",70,160,0.271,160,22.95510204,0.17,23.12,590.4059041,2.204119983,1.311816694,"healthy"
"Doug Ault","R",75,200,0.236,17,24.99555556,0.02,25.02,72.03389831,1.230448921,1.469666178,"healthy"
"Mark Wagner","R",72,165,0.243,3,22.3755787,0.41,22.79,12.34567901,0.477121255,1.266984768,"healthy"
"Willie Stargell","L",74,188,0.282,475,24.13513514,-0.07,24.07,1684.397163,2.67669361,1.403104054,"healthy"
"Jake Wood","R",73,163,0.25,35,21.50290861,0.01,21.51,140,1.544068044,1.19947501,"healthy"
"Del Unser","L",73,180,0.258,87,23.74554325,0.05,23.8,337.2093023,1.939519253,1.372965226,"healthy"
"Lee Mazzilli","B",73,180,0.259,93,23.74554325,0.14,23.89,359.0733591,1.968482949,1.372965226,"healthy"
"Garth Iorg","R",71,170,0.258,20,23.7075977,0.25,23.95,77.51937984,1.301029996,1.370029758,"healthy"
"Alan Ashby","B",74,185,0.245,90,23.75,0.01,23.76,367.3469388,1.954242509,1.37331,"healthy"
"Tim Blackwell","B",71,170,0.228,6,23.7075977,-0.24,23.47,26.31578947,0.77815125,1.370029758,"healthy"
"Jerry Morales","R",70,155,0.259,95,22.2377551,0.15,22.38,366.7953668,1.977723605,1.256322735,"healthy"
"Mario Soto","R",72,174,0.132,1,23.59606481,-0.02,23.57,7.575757576,0,1.361401574,"healthy"
"Jimmy Wynn","R",70,160,0.25,291,22.95510204,0.18,23.14,1164,2.463892989,1.311816694,"healthy"
"Pepe Frias","R",70,159,0.24,1,22.81163265,0.38,23.19,4.166666667,0,1.300717902,"healthy"
"Willie Montanez","L",72,170,0.275,139,23.05362654,-0.48,22.58,505.4545455,2.1430148,1.319438549,"healthy"
"Rey Quinones","R",71,160,0.243,29,22.31303313,0.43,22.74,119.3415638,1.462397998,1.262146243,"healthy"
"Bert Campaneris","R",70,160,0.259,79,22.95510204,0.39,23.35,305.019305,1.897627091,1.311816694,"healthy"
"Tom Haller","L",76,195,0.257,134,23.73355263,-0.31,23.42,521.4007782,2.127104798,1.372037631,"healthy"
"Harry Spilman","L",73,180,0.237,18,23.74554325,0.11,23.85,75.94936709,1.255272505,1.372965226,"healthy"
"Bob Barton","R",72,175,0.226,9,23.73167438,-0.33,23.4,39.82300885,0.954242509,1.37189233,"healthy"
"Daryl Sconiers","L",74,185,0.265,15,23.75,0.42,24.17,56.60377358,1.176091259,1.37331,"healthy"
"Sixto Lezcano","R",70,165,0.271,148,23.67244898,-0.46,23.21,546.1254613,2.170261715,1.367310653,"healthy"
"Freddie Patek","R",65,148,0.242,41,24.62579882,0.01,24.63,169.4214876,1.612783857,1.441061797,"healthy"
"Ken Hubbs","R",74,175,0.247,14,22.46621622,0.03,22.5,56.68016194,1.146128036,1.273996487,"healthy"
"Pepe Mangual","R",70,157,0.242,16,22.52469388,-0.21,22.31,66.11570248,1.204119983,1.278520319,"healthy"
"Willie Davis","L",74,180,0.279,182,23.10810811,0.22,23.32,652.3297491,2.260071388,1.323653243,"healthy"
